n_tries,n_choices,guesses,feedback,won
4,"[6512, 209, 43, 2]","['cliff', 'slavs', 'alpha', 'ultra']","{'false_letters': ['f', 'p', 'i', 'v', 's', 'h', 'c'], 'true_letters': {1: 'l', 4: 'a', 0: 'u', 2: 't', 3: 'r'}, 'misplaced_letters': {2: ['a'], 0: ['a']}}",1
9,"[6512, 177, 96, 67, 29, 20, 18, 2, 1]","['hayed', 'mixed', 'greed', 'cooed', 'voted', 'joked', 'poled', 'lobed', 'lowed']","{'false_letters': ['p', 'j', 'i', 'y', 'x', 'v', 'g', 'm', 'b', 'a', 'r', 'k', 't', 'h', 'c'], 'true_letters': {3: 'e', 4: 'd', 1: 'o', 0: 'l', 2: 'w'}, 'misplaced_letters': {2: ['e', 'o', 'l']}}",0
5,"[6512, 2331, 194, 24, 1]","['unzip', 'wrath', 'roses', 'ferry', 'deere']","{'false_letters': ['p', 'f', 'u', 'i', 'o', 'z', 'y', 'n', 'w', 's', 'a', 't', 'h'], 'true_letters': {1: 'e', 3: 'r', 0: 'd', 2: 'e', 4: 'e'}, 'misplaced_letters': {1: ['r'], 0: ['r'], 3: ['e'], 2: ['r']}}",1
5,"[6512, 609, 163, 6, 1]","['cagey', 'kiowa', 'udall', 'judas', 'judah']","{'false_letters': ['e', 'i', 'o', 'y', 'g', 'w', 's', 'l', 'k', 'c'], 'true_letters': {0: 'j', 1: 'u', 2: 'd', 3: 'a', 4: 'h'}, 'misplaced_letters': {1: ['a', 'd'], 4: ['a'], 0: ['u'], 2: ['a']}}",1
4,"[6512, 69, 6, 1]","['hoofs', 'stony', 'spout', 'smote']","{'false_letters': ['f', 'p', 'u', 'y', 'n', 'h'], 'true_letters': {2: 'o', 0: 's', 1: 'm', 3: 't', 4: 'e'}, 'misplaced_letters': {1: ['o', 't'], 4: ['s', 't']}}",1
4,"[6512, 1351, 54, 2]","['lopez', 'sissy', 'swami', 'shims']","{'false_letters': ['p', 'e', 'z', 'o', 'y', 'w', 'l', 'a'], 'true_letters': {0: 's', 3: 'm', 1: 'h', 2: 'i', 4: 's'}, 'misplaced_letters': {1: ['i'], 2: ['s'], 3: ['s'], 4: ['i']}}",1
3,"[6512, 115, 9]","['haste', 'twigs', 'stoic']","{'false_letters': ['e', 'w', 'g', 'a', 'h'], 'true_letters': {0: 's', 1: 't', 2: 'o', 3: 'i', 4: 'c'}, 'misplaced_letters': {2: ['s', 'i'], 3: ['t'], 0: ['t'], 4: ['s']}}",1
6,"[6512, 591, 44, 21, 13, 1]","['petra', 'wiled', 'dozed', 'coked', 'hosed', 'oohed']","{'false_letters': ['p', 'i', 'z', 'w', 's', 'a', 'r', 'l', 'k', 't', 'c'], 'true_letters': {3: 'e', 4: 'd', 1: 'o', 0: 'o', 2: 'h'}, 'misplaced_letters': {1: ['e'], 0: ['d', 'h']}}",1
4,"[6512, 232, 5, 1]","['dogie', 'trace', 'lucre', 'sucre']","{'false_letters': ['i', 'o', 'g', 'd', 'a', 'l', 't'], 'true_letters': {4: 'e', 1: 'u', 2: 'c', 3: 'r', 0: 's'}, 'misplaced_letters': {1: ['r'], 3: ['c']}}",1
5,"[6512, 1061, 22, 6, 3]","['tatty', 'roams', 'orval', 'argon', 'ardor']","{'false_letters': ['y', 'n', 'v', 'g', 'm', 's', 'l', 't'], 'true_letters': {1: 'r', 0: 'a', 3: 'o', 2: 'd', 4: 'r'}, 'misplaced_letters': {1: ['a', 'o'], 0: ['r', 'o'], 2: ['a'], 3: ['a']}}",1
6,"[6512, 580, 24, 17, 7, 1]","['width', 'iambi', 'pepsi', 'xxvii', 'golgi', 'gucci']","{'false_letters': ['p', 'e', 'o', 'v', 'x', 'w', 'd', 'b', 'm', 'a', 's', 'l', 't', 'h'], 'true_letters': {4: 'i', 0: 'g', 1: 'u', 2: 'c', 3: 'c'}, 'misplaced_letters': {1: ['i'], 0: ['i'], 3: ['i', 'g']}}",1
3,"[6512, 28, 1]","['flans', 'farce', 'foray']","{'false_letters': ['e', 'n', 's', 'l', 'c'], 'true_letters': {0: 'f', 2: 'r', 1: 'o', 3: 'a', 4: 'y'}, 'misplaced_letters': {2: ['a'], 1: ['a']}}",1
4,"[6512, 14, 3, 1]","['peter', 'spate', 'swept', 'steps']","{'false_letters': ['r', 'w', 'a'], 'true_letters': {0: 's', 2: 'e', 3: 'p', 1: 't', 4: 's'}, 'misplaced_letters': {0: ['p'], 1: ['e', 'p'], 2: ['t'], 3: ['e', 't'], 4: ['e', 't']}}",1
3,"[6512, 1019, 8]","['mujib', 'spied', 'piney']","{'false_letters': ['j', 'u', 'm', 'b', 's', 'd'], 'true_letters': {3: 'e', 0: 'p', 1: 'i', 2: 'n', 4: 'y'}, 'misplaced_letters': {3: ['i'], 1: ['p'], 2: ['i']}}",1
4,"[6512, 293, 37, 7]","['tibet', 'fusty', 'stalk', 'stows']","{'false_letters': ['e', 'f', 'u', 'i', 'y', 'b', 'a', 'l', 'k'], 'true_letters': {0: 's', 1: 't', 2: 'o', 3: 'w', 4: 's'}, 'misplaced_letters': {0: ['t'], 4: ['t'], 2: ['s'], 3: ['t']}}",1
4,"[6512, 9, 5, 1]","['since', 'civet', 'riced', 'bicep']","{'false_letters': ['v', 'n', 'd', 's', 'r', 't'], 'true_letters': {1: 'i', 3: 'e', 2: 'c', 0: 'b', 4: 'p'}, 'misplaced_letters': {3: ['c'], 4: ['e'], 0: ['c']}}",1
5,"[6512, 564, 19, 7, 6]","['rubes', 'hocks', 'sinks', 'links', 'jinks']","{'false_letters': ['e', 'u', 'o', 'b', 'l', 'r', 'h', 'c'], 'true_letters': {4: 's', 3: 'k', 1: 'i', 2: 'n', 0: 'j'}, 'misplaced_letters': {0: ['s']}}",1
5,"[6512, 2774, 57, 3, 1]","['bogon', 'cruft', 'exist', 'visit', 'split']","{'false_letters': ['f', 'e', 'u', 'o', 'n', 'x', 'g', 'v', 'b', 'r', 'c'], 'true_letters': {4: 't', 3: 'i', 0: 's', 1: 'p', 2: 'l'}, 'misplaced_letters': {2: ['i', 's'], 3: ['s'], 1: ['i']}}",1
6,"[6512, 917, 106, 29, 3, 1]","['winds', 'lacks', 'roars', 'feats', 'stats', 'ghats']","{'false_letters': ['f', 'e', 'i', 'o', 'n', 'w', 'd', 'l', 'r', 'k', 'c'], 'true_letters': {4: 's', 2: 'a', 3: 't', 0: 'g', 1: 'h'}, 'misplaced_letters': {1: ['a', 't'], 0: ['s']}}",1
3,"[6512, 109, 25]","['exurb', 'turfy', 'gurus']","{'false_letters': ['e', 'f', 'y', 'x', 'b', 't'], 'true_letters': {1: 'u', 2: 'r', 0: 'g', 3: 'u', 4: 's'}, 'misplaced_letters': {2: ['u'], 3: ['r']}}",1
4,"[6512, 6, 2, 1]","['olmec', 'somme', 'demos', 'memos']","{'false_letters': ['l', 'd', 'c'], 'true_letters': {2: 'm', 1: 'e', 3: 'o', 4: 's', 0: 'm'}, 'misplaced_letters': {0: ['o', 's'], 3: ['e', 'm'], 1: ['o'], 4: ['e']}}",1
6,"[6512, 1224, 205, 29, 3, 1]","['fetch', 'wakes', 'buber', 'gorey', 'greed', 'grieg']","{'false_letters': ['f', 'u', 'o', 'y', 'w', 'd', 'b', 's', 'a', 'k', 't', 'h', 'c'], 'true_letters': {3: 'e', 0: 'g', 1: 'r', 2: 'i', 4: 'g'}, 'misplaced_letters': {1: ['e'], 4: ['r'], 2: ['r', 'e']}}",1
4,"[6512, 533, 198, 7]","['viced', 'rower', 'sexes', 'pekes']","{'false_letters': ['i', 'o', 'x', 'v', 'w', 'd', 'r', 'c'], 'true_letters': {3: 'e', 1: 'e', 4: 's', 0: 'p', 2: 'k'}, 'misplaced_letters': {0: ['s']}}",1
5,"[6512, 675, 152, 5, 2]","['stacy', 'vapid', 'arena', 'henan', 'began']","{'false_letters': ['p', 'i', 'y', 'v', 'd', 's', 'r', 't', 'h', 'c'], 'true_letters': {1: 'e', 3: 'a', 4: 'n', 0: 'b', 2: 'g'}, 'misplaced_letters': {2: ['a', 'e', 'n'], 1: ['a'], 0: ['a'], 3: ['n'], 4: ['a']}}",1
9,"[6512, 104, 27, 9, 5, 4, 3, 2, 1]","['navel', 'finer', 'zoned', 'tones', 'jones', 'cones', 'bones', 'pones', 'hones']","{'false_letters': ['f', 'p', 'i', 'j', 'z', 'v', 'd', 'b', 'l', 'a', 'r', 't', 'c'], 'true_letters': {3: 'e', 2: 'n', 1: 'o', 4: 's', 0: 'h'}, 'misplaced_letters': {0: ['n']}}",0
8,"[6512, 1467, 49, 31, 6, 4, 3, 2]","['epoch', 'bevvy', 'beige', 'berta', 'beaks', 'beaus', 'beams', 'beads']","{'false_letters': ['p', 'u', 'i', 'o', 'y', 'v', 'g', 'm', 'r', 'k', 't', 'h', 'c'], 'true_letters': {0: 'b', 1: 'e', 2: 'a', 4: 's', 3: 'd'}, 'misplaced_letters': {0: ['e'], 4: ['e', 'a']}}",0
6,"[6512, 141, 101, 37, 26, 4]","['redis', 'nevus', 'beets', 'hexes', 'leaps', 'pecos']","{'false_letters': ['u', 'i', 'v', 'x', 'n', 'd', 'b', 'l', 'r', 'a', 't', 'h'], 'true_letters': {1: 'e', 4: 's', 0: 'p', 2: 'c', 3: 'o'}, 'misplaced_letters': {2: ['e'], 3: ['e', 'p']}}",1
7,"[6512, 1404, 11, 8, 5, 3, 1]","['valid', 'greps', 'users', 'seers', 'myers', 'boers', 'hoers']","{'false_letters': ['p', 'u', 'i', 'y', 'v', 'g', 'd', 'm', 'b', 'a', 'l'], 'true_letters': {2: 'e', 4: 's', 3: 'r', 1: 'o', 0: 'h'}, 'misplaced_letters': {1: ['r', 's', 'e'], 0: ['s']}}",0
5,"[6512, 196, 33, 10, 2]","['shred', 'grave', 'relic', 'twerk', 'exurb']","{'false_letters': ['i', 'v', 'g', 'w', 'd', 's', 'a', 'l', 'k', 't', 'h', 'c'], 'true_letters': {3: 'r', 0: 'e', 1: 'x', 2: 'u', 4: 'b'}, 'misplaced_letters': {2: ['r', 'e'], 3: ['e'], 1: ['r', 'e'], 4: ['e'], 0: ['r']}}",1
5,"[6512, 1756, 84, 3, 2]","['omaha', 'guise', 'lilts', 'lints', 'lists']","{'false_letters': ['e', 'u', 'o', 'n', 'g', 'm', 'a', 'h'], 'true_letters': {0: 'l', 1: 'i', 3: 't', 4: 's', 2: 's'}, 'misplaced_letters': {2: ['i', 'l'], 3: ['s']}}",1
3,"[6512, 876, 1]","['lefts', 'oomph', 'pommy']","{'false_letters': ['e', 'f', 's', 'l', 't', 'h'], 'true_letters': {1: 'o', 2: 'm', 0: 'p', 3: 'm', 4: 'y'}, 'misplaced_letters': {0: ['o'], 3: ['p']}}",1
2,"[6512, 1]","['south', 'shunt']","{'false_letters': ['o'], 'true_letters': {0: 's', 2: 'u', 1: 'h', 3: 'n', 4: 't'}, 'misplaced_letters': {3: ['t'], 4: ['h']}}",1
3,"[6512, 186, 15]","['mores', 'quota', 'jabot']","{'false_letters': ['e', 'u', 'q', 'm', 's', 'r'], 'true_letters': {0: 'j', 1: 'a', 2: 'b', 3: 'o', 4: 't'}, 'misplaced_letters': {1: ['o'], 2: ['o'], 3: ['t'], 4: ['a']}}",1
3,"[6512, 55, 3]","['boink', 'steak', 'cluck']","{'false_letters': ['e', 'i', 'o', 'n', 'b', 's', 'a', 't'], 'true_letters': {4: 'k', 0: 'c', 1: 'l', 2: 'u', 3: 'c'}, 'misplaced_letters': {}}",1
6,"[6512, 503, 34, 20, 2, 1]","['korea', 'items', 'jests', 'belts', 'lents', 'lefts']","{'false_letters': ['j', 'i', 'o', 'n', 'm', 'b', 'a', 'r', 'k'], 'true_letters': {4: 's', 1: 'e', 3: 't', 0: 'l', 2: 'f'}, 'misplaced_letters': {3: ['e'], 1: ['t'], 2: ['e', 's', 'l']}}",1
6,"[6512, 415, 43, 3, 2, 1]","['viola', 'shirt', 'pried', 'dried', 'fried', 'cried']","{'false_letters': ['p', 'f', 'o', 'v', 's', 'a', 'l', 't', 'h'], 'true_letters': {2: 'i', 1: 'r', 3: 'e', 4: 'd', 0: 'c'}, 'misplaced_letters': {1: ['i'], 3: ['r'], 0: ['d']}}",1
4,"[6512, 655, 16, 1]","['pawed', 'ghana', 'ayahs', 'blahs']","{'false_letters': ['p', 'e', 'y', 'n', 'w', 'g', 'd'], 'true_letters': {2: 'a', 3: 'h', 4: 's', 0: 'b', 1: 'l'}, 'misplaced_letters': {1: ['a', 'h'], 4: ['a'], 0: ['a']}}",1
7,"[6512, 2005, 63, 10, 5, 2, 1]","['porky', 'thieu', 'seuss', 'gauze', 'exude', 'flume', 'mfume']","{'false_letters': ['p', 'i', 'z', 'o', 'y', 'x', 'g', 'd', 's', 'a', 'r', 'l', 'k', 't', 'h'], 'true_letters': {2: 'u', 4: 'e', 3: 'm', 0: 'm', 1: 'f'}, 'misplaced_letters': {3: ['e'], 4: ['u'], 1: ['e'], 0: ['e', 'f']}}",0
5,"[6512, 3561, 831, 71, 1]","['pygmy', 'cloud', 'jerks', 'extra', 'fixer']","{'false_letters': ['p', 'u', 'j', 'o', 'y', 'g', 'm', 'd', 's', 'l', 'a', 'k', 't', 'c'], 'true_letters': {0: 'f', 1: 'i', 2: 'x', 3: 'e', 4: 'r'}, 'misplaced_letters': {1: ['e', 'x'], 2: ['r'], 0: ['e'], 3: ['r']}}",1
7,"[6512, 360, 65, 22, 8, 3, 1]","['booms', 'roger', 'oozed', 'covet', 'jokey', 'foley', 'honey']","{'false_letters': ['f', 'j', 'z', 'v', 'g', 'm', 'b', 's', 'd', 'r', 'l', 'k', 't', 'c'], 'true_letters': {1: 'o', 3: 'e', 4: 'y', 0: 'h', 2: 'n'}, 'misplaced_letters': {2: ['o'], 0: ['o']}}",0
7,"[6512, 75, 11, 9, 3, 2, 1]","['facts', 'carve', 'carpi', 'carly', 'cargo', 'carom', 'carob']","{'false_letters': ['f', 'p', 'i', 'e', 'y', 'v', 'g', 'm', 's', 'l', 't'], 'true_letters': {1: 'a', 0: 'c', 2: 'r', 3: 'o', 4: 'b'}, 'misplaced_letters': {2: ['c'], 4: ['o']}}",0
3,"[6512, 26, 1]","['recur', 'rushy', 'round']","{'false_letters': ['e', 'y', 's', 'h', 'c'], 'true_letters': {0: 'r', 1: 'o', 2: 'u', 3: 'n', 4: 'd'}, 'misplaced_letters': {3: ['u'], 4: ['r'], 1: ['u']}}",1
5,"[6512, 1002, 12, 2, 1]","['avery', 'swoon', 'stoop', 'stood', 'stool']","{'false_letters': ['e', 'p', 'y', 'n', 'v', 'w', 'd', 'a', 'r'], 'true_letters': {0: 's', 2: 'o', 3: 'o', 1: 't', 4: 'l'}, 'misplaced_letters': {}}",1
3,"[6512, 2, 1]","['durer', 'darer', 'direr']","{'false_letters': ['u', 'a'], 'true_letters': {0: 'd', 2: 'r', 3: 'e', 4: 'r', 1: 'i'}, 'misplaced_letters': {}}",1
4,"[6512, 67, 2, 1]","['rails', 'craps', 'pears', 'spars']","{'false_letters': ['e', 'i', 'c', 'l'], 'true_letters': {4: 's', 2: 'a', 3: 'r', 0: 's', 1: 'p'}, 'misplaced_letters': {0: ['r', 'p'], 1: ['a', 'r'], 3: ['p']}}",1
4,"[6512, 223, 13, 1]","['welsh', 'rials', 'lajos', 'lucas']","{'false_letters': ['e', 'j', 'i', 'o', 'w', 'r', 'h'], 'true_letters': {4: 's', 0: 'l', 1: 'u', 2: 'c', 3: 'a'}, 'misplaced_letters': {2: ['l', 'a'], 3: ['s', 'l'], 1: ['a']}}",1
8,"[6512, 1113, 98, 35, 26, 15, 3, 1]","['swazi', 'booed', 'puppy', 'yukky', 'muggy', 'curvy', 'hurry', 'furry']","{'false_letters': ['e', 'p', 'z', 'i', 'o', 'v', 'w', 'g', 'd', 'b', 's', 'a', 'm', 'k', 'h', 'c'], 'true_letters': {1: 'u', 4: 'y', 2: 'r', 3: 'r', 0: 'f'}, 'misplaced_letters': {0: ['y']}}",0
6,"[6512, 348, 56, 20, 3, 1]","['cubic', 'mousy', 'snuff', 'slued', 'skulk', 'skull']","{'false_letters': ['f', 'e', 'i', 'o', 'y', 'n', 'm', 'b', 'd', 'c'], 'true_letters': {2: 'u', 0: 's', 1: 'k', 3: 'l', 4: 'l'}, 'misplaced_letters': {1: ['u', 'l'], 3: ['s'], 4: ['k']}}",1
3,"[6512, 18, 6]","['means', 'tempo', 'fermi']","{'false_letters': ['p', 'o', 'n', 's', 'a', 't'], 'true_letters': {1: 'e', 0: 'f', 2: 'r', 3: 'm', 4: 'i'}, 'misplaced_letters': {0: ['m'], 2: ['m']}}",1
4,"[6512, 328, 13, 1]","['stunk', 'rates', 'deist', 'chest']","{'false_letters': ['u', 'i', 'n', 'd', 'a', 'r', 'k'], 'true_letters': {3: 's', 4: 't', 0: 'c', 1: 'h', 2: 'e'}, 'misplaced_letters': {0: ['s'], 1: ['t', 'e'], 2: ['t'], 3: ['e'], 4: ['s']}}",1
4,"[6512, 58, 32, 1]","['santa', 'snuff', 'simon', 'skein']","{'false_letters': ['f', 'u', 'o', 'm', 'a', 't'], 'true_letters': {0: 's', 4: 'n', 1: 'k', 2: 'e', 3: 'i'}, 'misplaced_letters': {2: ['n'], 1: ['n', 'i']}}",1
5,"[6512, 415, 125, 24, 1]","['hooky', 'ollie', 'capos', 'magoo', 'magog']","{'false_letters': ['e', 'p', 'i', 'y', 's', 'l', 'k', 'h', 'c'], 'true_letters': {1: 'a', 3: 'o', 0: 'm', 2: 'g', 4: 'g'}, 'misplaced_letters': {1: ['o'], 2: ['o'], 0: ['o'], 4: ['o']}}",1
7,"[6512, 600, 183, 79, 3, 2, 1]","['detox', 'osaka', 'soggy', 'loops', 'poops', 'coops', 'hoops']","{'false_letters': ['e', 'y', 'x', 'g', 'd', 'a', 'l', 'k', 't', 'c'], 'true_letters': {1: 'o', 2: 'o', 3: 'p', 4: 's', 0: 'h'}, 'misplaced_letters': {3: ['o'], 0: ['o', 's', 'p'], 1: ['s']}}",0
6,"[6512, 605, 24, 5, 2, 1]","['coves', 'leapt', 'kenya', 'began', 'medan', 'reran']","{'false_letters': ['p', 'o', 'y', 'v', 'g', 'm', 'b', 's', 'l', 'd', 'k', 't', 'c'], 'true_letters': {1: 'e', 3: 'a', 4: 'n', 0: 'r', 2: 'r'}, 'misplaced_letters': {3: ['e'], 2: ['a', 'n'], 4: ['a']}}",1
5,"[6512, 2910, 68, 10, 1]","['mamba', 'typos', 'slosh', 'douse', 'verso']","{'false_letters': ['p', 'u', 'y', 'm', 'b', 'd', 'a', 'l', 't', 'h'], 'true_letters': {3: 's', 0: 'v', 1: 'e', 2: 'r', 4: 'o'}, 'misplaced_letters': {3: ['o'], 4: ['s', 'e'], 0: ['s'], 2: ['o'], 1: ['o']}}",1
4,"[6512, 678, 37, 1]","['boxes', 'ghent', 'marne', 'amine']","{'false_letters': ['o', 'x', 'g', 'b', 's', 'r', 't', 'h'], 'true_letters': {3: 'n', 4: 'e', 0: 'a', 1: 'm', 2: 'i'}, 'misplaced_letters': {3: ['e'], 2: ['e'], 0: ['m'], 1: ['a']}}",1
5,"[6512, 187, 11, 7, 5]","['reaps', 'balms', 'camus', 'masks', 'maxis']","{'false_letters': ['p', 'e', 'u', 'b', 'l', 'r', 'k', 'c'], 'true_letters': {4: 's', 1: 'a', 0: 'm', 2: 'x', 3: 'i'}, 'misplaced_letters': {2: ['a', 'm', 's'], 3: ['m']}}",1
4,"[6512, 783, 13, 1]","['roses', 'chain', 'tight', 'bligh']","{'false_letters': ['e', 'o', 'n', 's', 'a', 'r', 't', 'c'], 'true_letters': {0: 'b', 1: 'l', 2: 'i', 3: 'g', 4: 'h'}, 'misplaced_letters': {1: ['h', 'i'], 3: ['i', 'h'], 2: ['g']}}",1
9,"[6512, 1303, 110, 13, 8, 4, 3, 2, 1]","['dwell', 'stoke', 'tuber', 'miter', 'apter', 'eater', 'hater', 'rater', 'cater']","{'false_letters': ['p', 'u', 'i', 'o', 'w', 'd', 'b', 's', 'l', 'm', 'k', 'h'], 'true_letters': {3: 'e', 4: 'r', 2: 't', 1: 'a', 0: 'c'}, 'misplaced_letters': {2: ['e'], 1: ['t'], 4: ['e'], 0: ['t', 'a', 'e', 'r']}}",0
7,"[6512, 553, 14, 6, 4, 2, 1]","['loony', 'never', 'under', 'enter', 'inner', 'sneer', 'anger']","{'false_letters': ['u', 'i', 'o', 'y', 'v', 'd', 's', 'l', 't'], 'true_letters': {3: 'e', 4: 'r', 1: 'n', 0: 'a', 2: 'g'}, 'misplaced_letters': {3: ['n'], 0: ['n', 'e'], 1: ['e'], 2: ['n', 'e']}}",0
6,"[6512, 609, 106, 79, 12, 5]","['jaunt', 'vaxes', 'dagos', 'walks', 'barks', 'casks']","{'false_letters': ['e', 'j', 'u', 'o', 'n', 'v', 'x', 'g', 'w', 'd', 'b', 'l', 'r', 't'], 'true_letters': {1: 'a', 4: 's', 3: 'k', 0: 'c', 2: 's'}, 'misplaced_letters': {}}",1
5,"[6512, 582, 96, 8, 2]","['surya', 'elate', 'manic', 'iowan', 'divan']","{'false_letters': ['e', 'u', 'o', 'y', 'w', 'm', 's', 'l', 'r', 't', 'c'], 'true_letters': {3: 'a', 4: 'n', 0: 'd', 1: 'i', 2: 'v'}, 'misplaced_letters': {4: ['a'], 2: ['a', 'n'], 1: ['a'], 3: ['i'], 0: ['i']}}",1
4,"[6512, 237, 9, 3]","['trunk', 'brice', 'creel', 'creep']","{'false_letters': ['u', 'i', 'n', 'b', 'l', 'k', 't'], 'true_letters': {1: 'r', 0: 'c', 2: 'e', 3: 'e', 4: 'p'}, 'misplaced_letters': {3: ['c'], 4: ['e']}}",1
3,"[6512, 388, 2]","['effed', 'codas', 'comdr']","{'false_letters': ['e', 'f', 's', 'a'], 'true_letters': {0: 'c', 1: 'o', 2: 'm', 3: 'd', 4: 'r'}, 'misplaced_letters': {4: ['d'], 2: ['d']}}",1
7,"[6512, 9, 8, 7, 6, 5, 4]","['lings', 'dings', 'tings', 'zings', 'pings', 'rings', 'wings']","{'false_letters': ['p', 'z', 'd', 'l', 'r', 't'], 'true_letters': {1: 'i', 2: 'n', 3: 'g', 4: 's', 0: 'w'}, 'misplaced_letters': {}}",0
5,"[6512, 950, 135, 40, 2]","['vivas', 'raked', 'palmy', 'gatun', 'wazoo']","{'false_letters': ['e', 'p', 'u', 'i', 'y', 'v', 'n', 'g', 'd', 'm', 's', 'l', 'r', 'k', 't'], 'true_letters': {1: 'a', 0: 'w', 2: 'z', 3: 'o', 4: 'o'}, 'misplaced_letters': {3: ['a']}}",1
5,"[6512, 1550, 84, 4, 1]","['bliss', 'coped', 'taxon', 'aaron', 'wagon']","{'false_letters': ['p', 'e', 'i', 'x', 'd', 'b', 's', 'l', 'r', 't', 'c'], 'true_letters': {1: 'a', 3: 'o', 4: 'n', 0: 'w', 2: 'g'}, 'misplaced_letters': {1: ['o'], 0: ['a']}}",1
7,"[6512, 2120, 161, 5, 3, 2, 1]","['droop', 'exult', 'tisha', 'masts', 'fasts', 'vasts', 'casts']","{'false_letters': ['p', 'e', 'u', 'i', 'o', 'f', 'x', 'v', 'd', 'm', 'l', 'r', 'h'], 'true_letters': {2: 's', 1: 'a', 3: 't', 4: 's', 0: 'c'}, 'misplaced_letters': {4: ['t', 'a'], 0: ['t']}}",0
6,"[6512, 680, 199, 11, 4, 3]","['crabs', 'mints', 'holes', 'pulls', 'fulls', 'lulls']","{'false_letters': ['e', 'p', 'i', 'f', 'o', 'n', 'm', 'b', 'a', 'r', 't', 'h', 'c'], 'true_letters': {4: 's', 2: 'l', 1: 'u', 3: 'l', 0: 'l'}, 'misplaced_letters': {}}",1
5,"[6512, 334, 92, 8, 7]","['stall', 'waxes', 'ramos', 'mamas', 'jambs']","{'false_letters': ['e', 'o', 'x', 'w', 'l', 'r', 't'], 'true_letters': {1: 'a', 4: 's', 2: 'm', 0: 'j', 3: 'b'}, 'misplaced_letters': {0: ['s', 'm'], 2: ['a'], 3: ['a']}}",1
5,"[6512, 128, 39, 7, 1]","['shill', 'dwelt', 'fully', 'manly', 'nobly']","{'false_letters': ['e', 'f', 'u', 'i', 'w', 'd', 'm', 's', 'a', 't', 'h'], 'true_letters': {3: 'l', 4: 'y', 0: 'n', 1: 'o', 2: 'b'}, 'misplaced_letters': {4: ['l'], 2: ['l', 'n']}}",1
